Value Set Name,Value Set OID,Value Set Version,Code,Definition,Code System,Code System OID,Code System Version
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X32,"[O41.8X32] Other specified disorders of amniotic fluid and membranes, third trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X33,"[O41.8X33] Other specified disorders of amniotic fluid and membranes, third trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X34,"[O41.8X34] Other specified disorders of amniotic fluid and membranes, third trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X35,"[O41.8X35] Other specified disorders of amniotic fluid and membranes, third trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X39,"[O41.8X39] Other specified disorders of amniotic fluid and membranes, third trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X90,"[O41.8X90] Other specified disorders of amniotic fluid and membranes, unspecified trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X91,"[O41.8X91] Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X92,"[O41.8X92] Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X93,"[O41.8X93] Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X94,"[O41.8X94] Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X95,"[O41.8X95] Other specified disorders of amniotic fluid and membranes, unspecified trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.8X99,"[O41.8X99] Other specified disorders of amniotic fluid and membranes, unspecified trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.90X0,"[O41.90X0] Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.90X1,"[O41.90X1] Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.90X2,"[O41.90X2] Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.90X3,"[O41.90X3] Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.90X4,"[O41.90X4] Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.90X5,"[O41.90X5] Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.90X9,"[O41.90X9] Disorder of amniotic fluid and membranes, unspecified, unspecified trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.91X0,"[O41.91X0] Disorder of amniotic fluid and membranes, unspecified, first trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.91X1,"[O41.91X1] Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.91X2,"[O41.91X2] Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 2",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.91X3,"[O41.91X3] Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 3",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.91X4,"[O41.91X4] Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 4",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.91X5,"[O41.91X5] Disorder of amniotic fluid and membranes, unspecified, first trimester, fetus 5",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.91X9,"[O41.91X9] Disorder of amniotic fluid and membranes, unspecified, first trimester, other fetus",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.92X0,"[O41.92X0] Disorder of amniotic fluid and membranes, unspecified, second trimester, not applicable or unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Pregnancy,2.16.840.1.113883.3.464.1004.1219,2025-03-31,O41.92X1,"[O41.92X1] Disorder of amniotic fluid and membranes, unspecified, second trimester, fetus 1",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
