Value Set,Change,Code System,Code,Revised
Outpatient and Telehealth,Added,CPT,98003,2025-03-31
Outpatient and Telehealth,Added,CPT,98004,2025-03-31
Outpatient and Telehealth,Added,CPT,98005,2025-03-31
Outpatient and Telehealth,Added,CPT,98006,2025-03-31
Outpatient and Telehealth,Added,CPT,98007,2025-03-31
Outpatient and Telehealth,Added,CPT,98008,2025-03-31
Outpatient and Telehealth,Added,CPT,98009,2025-03-31
Outpatient and Telehealth,Added,CPT,98010,2025-03-31
Outpatient and Telehealth,Added,CPT,98011,2025-03-31
Outpatient and Telehealth,Added,CPT,98012,2025-03-31
Outpatient and Telehealth,Added,CPT,98013,2025-03-31
Outpatient and Telehealth,Added,CPT,98014,2025-03-31
Outpatient and Telehealth,Added,CPT,98015,2025-03-31
Outpatient and Telehealth,Added,CPT,98016,2025-03-31
Outpatient and Telehealth,Deleted,CPT,99241,
Outpatient and Telehealth,Deleted,CPT,99343,
Outpatient and Telehealth Without UBREV,Added,CPT,98000,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98001,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98002,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98003,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98004,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98005,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98006,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98007,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98008,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98009,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98010,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98011,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98012,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98013,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98014,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98015,2025-03-31
Outpatient and Telehealth Without UBREV,Added,CPT,98016,2025-03-31
Outpatient and Telehealth Without UBREV,Deleted,CPT,99241,
Outpatient and Telehealth Without UBREV,Deleted,CPT,99343,
"Outpatient, ED and Telehealth",Added,CPT,98000,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98001,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98002,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98003,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98004,2025-03-31
