Value Set Name,Value Set OID,Value Set Version,Code,Definition,Code System,Code System OID,Code System Version
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0901,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0902,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0903,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0904,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0905,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0907,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0911,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0912,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0913,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0914,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0915,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0916,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0917,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,0919,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Behavioral Healthcare Setting,2.16.840.1.113883.3.464.1004.2214,2025-03-31,1001,,UBREV,2.16.840.1.113883.6.301.3,2012.05
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,2025-03-31,F13.230,"[F13.230] Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,2025-03-31,F13.231,"[F13.231] Sedative, hypnotic or anxiolytic dependence with withdrawal delirium",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,2025-03-31,F13.232,"[F13.232] Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
Benzodiazepine Withdrawal,2.16.840.1.113883.3.464.1004.2210,2025-03-31,F13.239,"[F13.239] Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified",ICD10CM,2.16.840.1.113883.6.90,2025.1.24AA
