Value Set Name,Value Set OID,Value Set Version,Code,Definition,Code System,Code System OID,Code System Version
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,788956006,Impulse control disorder caused by psychoactive substance (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,788957002,Impulse control disorder caused by stimulant (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,788958007,Impulse control disorder caused by synthetic cathinone (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,788983007,Mood disorder caused by cannabis (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,789053008,Transient motor tic (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,789061003,Rapid cycling bipolar II disorder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,789119007,Mood disorder caused by synthetic cannabinoid (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,789170003,Disinhibited behavior due to dementia (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,789399002,Persistent adjustment disorder (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,833326008,Cortical vascular dementia (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,838276009,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex (disorder)",SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
Mental Health Diagnosis,2.16.840.1.113883.3.464.1004.1178,2025-03-31,838528007,Mood disorder with manic symptoms caused by amfetamine and/or amfetamine derivative (disorder),SNOMED CT US Edition,2.16.840.1.113883.6.96,2024.09.24AA
